Compound_No,SMILES,Value,FP_12,FP_13,FP_50,FP_336,FP_481,FP_516,FP_653,FP_880,FP_1188,FP_1192,FP_1540,FP_1673,FP_1713,FP_1893,FP_2037,PubchemFP259,PubchemFP308,PubchemFP548,PubchemFP617,PubchemFP639,APC2D1_C_C,APC2D1_C_N,APC2D1_C_O,APC2D2_C_N,APC2D2_C_O,APC2D3_C_C,APC2D3_C_N,APC2D3_C_O,APC2D3_C_S,APC2D4_C_N,APC2D4_C_O,APC2D4_C_S,APC2D5_C_C,APC2D5_C_N,APC2D5_C_O,APC2D5_C_S,APC2D5_N_O,APC2D6_C_N,APC2D7_C_C,APC2D7_C_N,APC2D7_C_O,APC2D7_C_X,APC2D7_O_O,APC2D8_C_O,APC2D9_C_C,APC2D9_C_N,APC2D9_C_O,APC2D9_N_N,APC2D10_C_N,APC2D10_C_S,APC2D10_N_O
154,CC(=O)c1ccc(C(CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)cc1,7.26,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,28,2,5,3,10,40,5,14,4,5,16,4,38,3,18,3,0,2,34,3,15,0,0,13,26,1,14,0,1,1,0
155,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)O)[C@@H](C)O,7.66,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,41,15,16,21,17,48,11,23,0,24,38,0,49,21,28,0,12,10,48,21,46,0,5,31,51,11,35,4,20,0,1
156,O=C(O)[C@H]1CCCC[C@H]1C(=O)N1CCc2ccccc2[C@H]1CN1C(=O)c2ccccc2C1=O,5.73,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,26,6,5,7,5,37,7,16,0,13,18,0,32,8,9,0,5,5,38,5,17,0,2,12,27,0,16,0,0,0,0
157,Cc1ccc2cc1CN1CC(CC/C=C\Cn3nnc4c(C)c(ccc43)C2CC(=O)O)Oc2ccccc2S1(=O)=O,6.26,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,31,5,4,11,8,46,15,13,4,16,15,4,52,11,18,4,0,13,51,15,15,0,0,11,40,10,16,2,7,1,2
158,CC(=O)N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(N)=O)[C@@H](C)O,6.2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,25,16,15,22,16,33,11,21,0,25,35,0,33,23,24,0,13,9,31,21,40,0,5,25,33,8,30,5,18,0,1
159,Cc1ccc(CC(=O)N[C@H](c2ccc(C)c(OCC(C)(C)O)c2)[C@@H](C)C(=O)O)cc1,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,23,2,6,3,9,26,5,11,0,4,9,0,27,3,15,0,1,3,27,2,9,0,3,12,21,0,12,0,0,0,0
160,Cc1ccc(C(CC(=O)O)c2ccc(C#N)cc2C)cc1CN1CC(C)Cc2cc(C(F)(F)F)ccc2S1(=O)=O,7.26,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,31,3,2,4,4,45,8,10,5,7,14,4,42,5,16,4,0,4,38,5,10,6,0,8,29,3,8,0,3,1,0
161,Cc1ccc(C(CC(=O)O)c2ccc(F)c(F)c2)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,26,2,4,3,8,36,5,12,4,5,14,4,36,3,17,3,0,2,29,3,13,5,0,8,22,1,10,0,0,1,0
162,COc1ccc(S(=O)(=O)N(CC(=O)O)c2cc(CCCN3C(=O)c4ccccc4C3=O)c(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,7.4,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,36,7,10,11,14,48,14,28,10,15,32,9,60,8,34,8,0,5,61,11,44,0,0,28,56,13,31,0,10,8,2
163,CC(C)(C)c1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(C(C)(C)C)cc3)c3ccccc23)cc1,7.3,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,33,4,4,8,8,44,10,16,10,10,24,8,46,4,28,8,0,4,39,10,36,0,0,12,42,4,16,0,2,4,0
164,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,7.37,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,25,4,8,8,12,32,10,20,10,10,26,8,42,4,28,6,0,2,35,6,32,0,0,18,24,4,18,0,2,4,0
165,CCCC[C@@H]1CCCN1C(=O)c1cccc(-c2cccc(-n3ncc(C(=O)O)c3C3CC3)c2)c1,8.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,28,6,3,12,3,35,12,8,0,9,7,0,39,7,9,0,0,6,31,6,7,0,0,5,26,3,5,1,8,0,0
166,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(CCC(=O)O)c3ccccc23)cc1,5.25,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,21,2,6,4,8,28,5,12,5,5,15,4,29,3,18,3,0,1,21,2,24,0,0,13,14,0,9,0,0,0,0
167,CCC1CN(Cc2cc(C(CC(=O)O)c3ccc4c(c3)nnn4C)ccc2C)S(=O)(=O)c2ccccc2O1,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,27,5,4,10,8,39,12,13,4,11,14,4,40,7,17,4,0,9,34,11,13,0,0,8,26,6,12,1,3,1,0
168,CN1CCC(SC(=S)NCCCCNC(=O)CC2CCCCC2)CC1,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,1,5,1,17,5,2,5,6,3,4,10,5,3,5,0,3,12,3,0,0,0,1,8,5,0,0,5,2,0
169,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c(OC(=O)c3ccccc3)c2)cc1,5.75,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,27,4,11,8,16,31,8,27,10,7,34,6,42,4,31,3,1,5,36,10,33,0,4,31,39,5,35,0,2,5,0
170,O=C(O)CN(c1cnc(N(CC(=O)O)S(=O)(=O)c2ccc(F)cc2)c2ccccc12)S(=O)(=O)c1ccc(F)cc1,6.41,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,23,6,4,9,8,25,12,16,9,15,22,7,35,9,24,6,4,6,32,7,24,4,0,12,18,4,12,0,2,4,0
171,COC(=O)CC(c1ccc(C)c(CN2C[C@@H](C)Oc3ccccc3S2(=O)=O)c1)c1ccc2c(c1)nnn2C,4.26,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,26,5,5,10,8,39,12,13,4,10,14,4,39,7,17,3,0,9,35,11,13,0,0,8,25,9,12,1,3,2,0
172,Cc1ccc([C@@H](NC(=O)Cc2ccc(Cc3ccc(C)cn3)cc2)[C@@H](C)C(=O)O)cc1.Cl,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,26,4,3,6,3,31,8,6,0,6,6,0,27,5,12,0,0,3,27,2,6,0,0,8,18,1,5,1,3,0,0
173,Cc1cc(C)c(S(=O)(=O)N(CC(=O)O)c2ccc(OC(C(=O)O)c3ccc(O)cc3)c3ccccc23)c(C)c1,6.8,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,29,2,7,4,12,37,5,17,7,7,28,4,41,2,25,4,1,2,42,2,25,0,4,12,23,2,17,0,1,2,0
174,COc1cc(C(CC(=O)O)c2ccc(C)c(CN3C[C@H](C)Oc4ncccc4S3(=O)=O)c2)cc2nnn(C)c12,7.26,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,24,7,6,12,9,38,14,14,3,12,15,4,39,10,19,3,0,10,32,13,15,0,2,12,24,8,13,1,6,1,0
175,Cc1ccc([C@@H](NC(=O)Cc2ccc(Cl)cc2)[C@@H](C)C(=O)O)cc1OCC(C)(C)C#N,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,23,3,5,4,6,24,8,12,0,4,8,0,28,4,13,0,1,5,29,4,6,0,3,11,22,1,9,1,3,0,0
176,O=C(O)[C@@H]1CCCC[C@@H]1C(=O)N1CCc2ccccc2[C@H]1CN1C(=O)c2ccccc2C1=O,5.64,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,26,6,5,7,5,37,7,16,0,13,18,0,32,8,9,0,5,5,38,5,17,0,2,12,27,0,16,0,0,0,0
177,Cc1ccc([C@@H](NC(=O)[C@@H](F)c2ccccc2)[C@@H](C)C(=O)O)cc1,5.46,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,19,2,3,3,3,21,5,6,0,4,6,0,17,3,12,0,0,2,19,0,5,2,0,7,11,0,4,0,0,0,0
178,CCN1CCN(Cc2cc(C(CC(=O)O)c3ccc4c(c3)nnn4C)ccc2C)S(=O)(=O)c2cccnc21,7.26,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,24,10,2,15,4,39,16,10,3,14,10,4,37,10,16,4,0,12,29,16,10,0,0,6,25,10,10,1,8,1,0
179,COc1ncccc1S(=O)(=O)N(CCO)Cc1cc(C(CC(=O)O)c2cc(OC)c3c(c2)nnn3C)ccc1C,5.26,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,23,7,7,12,8,36,13,14,3,10,15,4,37,12,22,3,0,11,32,13,18,0,3,17,25,8,15,1,6,1,0
180,CN1CCC(SC(=S)NCCCCNC(=O)OCc2ccccn2)CC1,4.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,9,3,7,1,14,6,4,5,6,5,4,9,4,4,5,1,5,11,4,1,0,0,2,9,5,0,0,4,2,0
181,O=C(O)CN(c1ccc(N(CC(=O)O)S(=O)(=O)c2ccc(NC(=O)C(F)(F)F)cc2)c2ccccc12)S(=O)(=O)c1ccc(NC(=O)C(F)(F)F)cc1,6.9,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,27,8,6,14,10,34,14,18,10,12,28,8,46,4,32,6,0,2,35,10,28,6,0,16,28,10,16,0,8,4,0
182,Cc1ccc([C@@H](NC(=O)[C@H](F)c2ccccc2)[C@@H](C)C(=O)O)cc1,4.05,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,19,2,3,3,3,21,5,6,0,4,6,0,17,3,12,0,0,2,19,0,5,2,0,7,11,0,4,0,0,0,0
183,COc1cc(C(CC(=O)O)c2ccc(C)c(CN3C[C@H](C)Oc4ccccc4S3(=O)=O)c2)cc2nnn(C)c12,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,26,5,6,10,10,40,12,14,4,11,17,4,40,9,19,3,0,9,34,11,15,0,2,12,26,6,13,1,4,1,0
184,CN(Cc1cc(C(CC(=O)O)c2ccc3c(c2)nnn3C)ccc1Cl)S(=O)(=O)c1cccnc1,6.26,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,21,7,2,11,4,29,12,10,2,8,8,3,27,9,14,2,0,10,19,13,10,5,0,4,15,7,10,1,3,1,0
185,C[S+]([O-])CCCCNC(=S)SCCCO,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,2,1,1,3,4,2,2,5,2,1,4,4,1,2,3,0,1,4,0,2,0,0,1,2,0,2,0,0,1,0
186,Cc1c2ccc3c1nnn3CCCCCC1CN(C3CCc4ccc(cc43)C2CC(=O)O)S(=O)(=O)c2ccccc2O1,5.26,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,33,5,4,12,8,48,16,13,5,15,17,5,57,11,21,3,0,13,56,15,14,0,0,13,41,11,16,2,9,1,2
187,Cc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(C)cc3)c3ccccc23)cc1,7.74,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,27,4,4,8,8,32,10,16,10,10,24,8,40,4,28,8,0,4,39,4,24,0,0,12,24,4,16,0,2,4,0
188,Cc1ccc(C(CC(=O)O)c2ccc(Cl)cc2)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,7.26,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,26,2,4,3,8,36,5,12,4,5,14,4,36,3,17,3,0,2,29,3,13,3,0,8,22,1,10,0,0,1,0
189,CC[C@@H]1CN(Cc2cc(C(CC(=O)O)c3ccc4c(nnn4C)c3C)ccc2C)S(=O)(=O)c2ccccc2O1,7.26,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,28,5,4,10,8,42,13,13,4,13,14,4,44,7,17,4,0,9,36,11,13,0,0,8,27,6,12,1,3,1,0
190,Cn1nnc2cc(C(CC(=O)O)c3ccc(Cl)c(CN4CCOc5ccccc5S4(=O)=O)c3)ccc21,7.26,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,24,5,4,10,7,34,11,12,4,9,14,3,32,7,15,2,0,9,23,11,12,5,0,6,20,5,12,1,1,1,0
191,CCOc1ccc(S(=O)(=O)Nc2cc(CC(=O)O)c(NS(=O)(=O)c3ccc(OCC)cc3)c3ccccc23)cc1,6.49,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,27,2,6,6,12,30,11,18,8,12,22,9,31,5,22,8,2,0,38,4,18,0,4,16,21,4,19,0,2,4,0
192,Cc1ccc(C(CC(=O)O)c2cnc3c(nnn3C)c2C)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,7.26,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,25,7,4,11,8,38,14,12,4,15,14,4,38,10,17,3,0,11,31,13,13,0,0,8,24,7,12,1,5,1,2
193,O=C(O)[C@@H]1CCCC[C@@H]1C(=O)N1CCc2ccccc2C1CN1C(=O)c2ccccc2C1=O,5.52,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,26,6,5,7,5,37,7,16,0,13,18,0,32,8,9,0,5,5,38,5,17,0,2,12,27,0,16,0,0,0,0
194,CC[C@H]1Cc2ccncc2S(=O)(=O)N(Cc2cc(C(CCc3cn(CC)nn3)CC(=O)O)ccc2C)C1,7.26,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,25,7,2,12,4,36,12,10,4,10,12,4,34,10,14,4,0,11,32,13,10,0,0,6,26,8,8,1,5,1,0
195,Cc1ccc(C(CC(=O)O)c2ccc3c(c2)nnn3CCCNC(=O)OC(C)(C)C)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,31,7,7,12,11,43,16,15,4,15,19,4,45,10,19,3,0,12,38,15,15,0,0,12,35,11,16,1,8,1,0
196,Cc1ccc(C(CC(=O)O)c2ccc3c(nnn3C)c2C)cc1CN1Cc2ccccc2CS1(=O)=O,7.26,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,27,5,2,10,4,41,12,8,3,12,10,4,35,7,16,4,0,9,30,11,10,0,0,6,23,6,10,1,3,1,0
197,Cc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(C)cc3)c(OCc3nnn[nH]3)c2)cc1,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,23,6,6,12,11,26,10,18,10,9,26,6,34,10,27,5,0,13,30,12,22,0,2,17,21,18,20,0,18,4,12
198,COc1ccc(-c2cc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc3c2N(CC(=O)O)S(=O)(=O)c2ccc(OC)cc2)cc1,7.31,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,32,4,10,8,14,45,11,22,10,13,27,9,60,8,31,9,0,5,64,7,48,0,0,35,47,5,32,0,2,5,0
199,Cc1ccc(C(CC(=O)O)NC(=O)Cc2ccc3c(c2)CCCC3)cc1,4.4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,23,2,3,3,3,29,4,4,0,4,6,0,19,3,11,0,0,3,18,2,7,0,0,8,18,0,4,0,0,0,0
200,Cc1ccc(C(CC(=O)O)c2ccc3c(nnn3C)c2C)cc1CN1C[C@H](C)Oc2ccccc2S1(=O)=O,7.26,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,27,5,4,10,8,41,13,12,4,12,14,4,41,7,17,3,0,9,33,11,13,0,0,8,25,6,12,1,3,1,0
201,Cc1cc(C)c(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3c(C)cc(C)cc3C)c3ccccc23)c(C)c1,6.01,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,31,4,4,8,8,40,10,16,14,14,32,8,48,4,28,8,0,4,51,4,32,0,0,12,28,8,16,0,2,8,0
202,Cc1ccc(C(CC(=O)O)c2ccc3c(nnn3C)c2C)cc1CN1C[C@@H](C)Oc2ccncc2S1(=O)=O,7.26,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,25,7,4,12,8,40,14,12,3,11,11,4,38,10,17,3,0,11,31,13,13,0,0,8,23,8,12,1,5,1,0
203,Cc1cccc2c1CCN(C(=O)[C@@H]1CCCC[C@@H]1C(=O)O)[C@@H]2CN1Cc2ccccc2C1=O,6.12,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,27,6,4,7,4,40,7,12,0,13,15,0,33,9,7,0,4,6,41,5,14,0,1,10,32,0,13,0,0,0,0
204,Cc1ccc(C(CC(=O)O)c2ccc3c(c2)CCC3=O)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,30,2,5,3,10,42,5,15,4,5,16,4,40,3,18,3,0,2,37,3,17,0,0,15,27,2,12,0,2,2,0
205,CCC1CN(Cc2cc(C(CC(=O)O)c3ccc(C#N)cc3C)ccc2C)S(=O)(=O)c2cccnc2O1,7.26,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,27,5,4,6,7,40,9,13,3,9,12,4,41,7,17,4,0,4,35,7,13,0,0,10,25,5,10,0,5,1,0
206,CN(C)C(=O)c1cccc(-c2cccc(-n3ncc(C(=O)O)c3-c3cccnc3)c2)c1,5.7,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,22,8,3,11,3,30,13,8,0,10,4,0,32,11,8,0,0,9,24,8,8,0,0,5,18,5,5,1,7,0,0
207,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c(OCc3cccc4ccccc34)c2)cc1,6.1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,32,4,10,8,15,41,8,24,10,7,31,6,46,4,30,3,0,5,43,11,30,0,2,27,48,8,33,0,3,8,0
208,COc1cccc(C(CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)c1,6.26,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,26,2,6,3,10,38,5,14,4,5,16,4,38,3,19,3,0,2,32,3,15,0,2,12,24,1,11,0,1,1,0
209,Cc1ccc(C(CC(=O)O)c2ccc3c(nnn3C)c2C)cc1CN(C)S(=O)(=O)C1CCCC1,6.26,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,24,5,2,9,4,33,12,10,3,12,10,2,35,6,12,3,0,9,27,11,10,0,0,6,17,6,10,1,3,1,0
210,CCCn1cc(CCC(CC(=O)O)c2ccc(C)c(CN3C[C@@H](CC)Oc4ccncc4S3(=O)=O)c2)nn1,7.26,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,24,7,4,12,8,33,12,13,3,10,11,4,34,11,15,4,0,11,30,13,13,0,0,8,26,8,10,1,5,1,0
211,CC[C@@H]1CN(Cc2cc(C(CCc3cn(CC)nn3)CC(=O)O)ccc2C(F)(F)F)S(=O)(=O)c2cnccc2O1,7.26,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,23,7,4,12,8,33,11,13,3,9,11,4,33,10,15,4,0,11,29,13,13,12,0,8,24,8,10,1,5,1,0
212,Cc1ccc(CC(=O)N[C@H](c2ccc(C)c(OCc3ccccc3)c2)[C@@H](C)C(=O)O)cc1,4.89,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,27,2,5,3,6,31,5,11,0,4,10,0,29,3,14,0,1,3,35,2,7,0,3,11,25,2,9,0,1,0,0
213,Cc1cccc2c1CCN(C(=O)[C@@H]1CCCC[C@@H]1C(=O)O)[C@@H]2CN1C(=O)c2ccccc2C1=O,6.12,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,27,6,5,7,5,40,7,16,0,13,18,0,33,9,9,0,5,6,41,5,18,0,2,14,32,0,16,0,0,0,0
214,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3[nH]ccc23)cc1,5.89,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,22,6,8,11,12,27,11,20,10,11,26,7,37,5,26,5,2,6,27,10,26,0,0,14,19,5,17,0,3,4,1
215,O=C(O)CN(c1ccc(OC(C(=O)O)c2ccccc2)c2ccccc12)S(=O)(=O)c1ccc(Cl)cc1,5.12,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,26,2,6,4,10,31,5,15,5,5,23,4,37,2,24,3,1,1,34,2,20,2,2,10,18,2,10,0,1,2,0
216,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cccnc3)cc2)cc1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,16,4,2,8,6,12,9,14,7,5,15,6,16,3,12,2,0,2,14,5,3,0,0,2,5,3,6,1,2,3,0
217,CN(Cc1cc(C(CC(=O)O)c2ccc3c(c2)nnn3C)ccc1Cl)S(=O)(=O)C1CCCCC1,5.26,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,23,5,2,9,4,30,11,10,3,9,10,3,29,7,14,2,0,9,21,11,10,5,0,4,17,5,10,1,1,1,0
218,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3Br)c3ccccc23)c(Br)c1,6.74,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,25,4,8,8,12,32,10,20,10,10,26,8,42,4,28,6,0,2,35,6,32,6,0,18,24,4,18,0,2,4,0
219,O=C(O)CN(c1ccc(N(CC(=O)O)S(=O)(=O)c2ccccc2)c2ccccc12)S(=O)(=O)c1ccccc1,7.46,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,25,4,4,8,8,28,10,16,10,10,24,8,40,4,28,6,0,2,35,4,24,0,0,12,18,4,12,0,2,4,0
220,CCC1CN(Cc2cc(C(CC(=O)O)c3ccc4c(c3)nnn4C)ccc2C)S(=O)(=O)c2cccnc2O1,7.26,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,25,7,4,12,7,37,14,13,3,12,12,4,38,9,17,4,0,10,32,13,13,0,0,8,24,8,12,1,5,1,0
221,Cc1ccc(C(CC(=O)OCCCCN(C)C)c2ccc3c(nnn3C)c2C)cc1CN1CCN(C)c2ccccc2S1(=O)=O,4.26,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,29,11,3,14,5,48,15,12,4,16,14,4,47,8,17,3,1,12,46,15,10,0,0,8,40,14,10,1,14,2,0
222,COc1cccnc1Cc1ccc(CC(=O)N[C@H](c2ccc(C)cc2)[C@@H](C)C(=O)O)cc1.Cl,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,25,4,5,6,5,32,7,8,0,7,8,0,28,5,14,0,0,3,27,2,7,0,0,9,18,1,6,1,3,0,1
223,COc1cc(C(CC(=O)O)c2cccc(CN3C[C@@H](C)Oc4ncccc4S3(=O)=O)c2)cc2nnn(C)c12,7.26,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,23,7,6,12,9,35,14,14,3,11,15,4,37,10,19,2,0,10,26,13,14,0,2,10,22,7,12,1,4,1,0
224,O=C(O)CN(c1ccc(N(CC(=O)O)S(=O)(=O)c2ccc(-c3ccccc3)cc2)c(OCc2ccccc2)c1)S(=O)(=O)c1ccc(-c2ccccc2)cc1,6.12,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,41,4,6,8,11,49,8,20,10,7,28,6,56,4,28,5,0,7,42,12,30,0,2,29,57,7,36,0,2,5,0
225,CN(C)C(=O)c1cccc(-c2cccc(-n3ncc(C(=O)O)c3C3CCCCC3)c2)c1,5.74,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,24,6,3,9,3,32,11,8,0,10,4,0,35,9,8,0,0,7,26,6,8,0,0,5,20,3,5,1,5,0,0
226,O=C(NCCCCN=C=S)C1CCCCC1,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1,3,1,9,4,3,1,4,3,1,7,1,2,1,0,2,6,1,0,0,0,1,3,2,0,0,1,2,0
227,CN(C)C(=O)c1ccnc(-c2cccc(-n3ncc(C(=O)O)c3C(F)(F)F)c2)c1,5.12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,16,8,3,12,3,22,12,8,0,9,4,0,23,5,3,0,1,8,13,9,6,6,0,5,10,3,3,1,5,0,0
228,Cc1ccc(C(CC(=O)O)c2ccn3nnnc3c2)cc1CN1CCOc2ccccc2S1(=O)=O,6.26,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,23,5,4,9,7,34,11,12,4,11,14,3,31,9,15,3,0,12,24,13,11,0,0,8,19,6,10,2,4,0,0
229,Cc1c(C(CC(=O)O)c2ccc3c(c2)C(N2C[C@@H](C)Oc4ccccc4S2(=O)=O)CC3)ccc2c1nnn2C,6.26,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,29,5,4,11,8,43,14,12,5,11,16,5,46,7,20,2,0,9,36,11,12,0,0,10,25,7,12,1,5,1,0
